Hotel_ID,Hotel_Name,Star_Rating,Room_Count,City_ID,District_Name,Latitude,Longitude,Chain_Name,Hotel_Type,Amenities_List,WiFi_Available,Parking_Available,Restaurant_Available,Gym_Available,Pool_Available,Halal_Certified,Average_Room_Rate_SAR,Commission_Rate_Pct
1001,Tempore Riyadh Hotel,4,62,1,Diplomatic Quarter,24.489783707606954,46.27907585705029,Hilton,Business,"WiFi,Pool,Restaurant,Gym,Spa",1,1,1,1,0,1,600,20.9
1002,Culpa Riyadh Hotel,3,97,1,Al Murabba,24.46532178678148,47.20403745809996,Independent,Budget,"WiFi,Pool,Restaurant,Gym,Spa",1,1,1,1,0,1,337,22.16
1003,Alias Riyadh Hotel,4,264,1,Al Murabba,24.898418092567706,46.55638141646133,Hilton,Business,"WiFi,Pool,Restaurant,Gym,Spa",1,1,1,1,0,1,600,21.98
1004,Harum Riyadh Hotel,3,129,1,Al Murabba,25.91442614441356,46.67318909022525,Hilton,Budget,"WiFi,Pool,Restaurant,Gym,Spa",1,1,1,1,1,1,337,15.97
1005,Exercitationem Riyadh Hotel,4,359,1,Diplomatic Quarter,25.61425654654876,47.45946357338764,Independent,Business,"WiFi,Pool,Restaurant,Gym,Spa",1,1,1,1,0,1,600,24.73
1006,Et Riyadh Hotel,3,332,1,Diplomatic Quarter,25.65880932850599,47.23703950472849,AccorHotels,Budget,"WiFi,Pool,Restaurant,Gym,Spa",1,1,1,1,0,1,337,22.05
1007,Deserunt Riyadh Hotel,3,166,1,Diplomatic Quarter,25.970443041321516,47.710635442030295,Hilton,Budget,"WiFi,Pool,Restaurant,Gym,Spa",1,1,1,1,1,1,337,17.78
1008,Corporis Riyadh Hotel,4,236,1,Al Sulimaniyah,24.740361934233764,46.419014061542974,AccorHotels,Business,"WiFi,Pool,Restaurant,Gym,Spa",1,1,1,1,0,1,600,21.09
1009,Veritatis Riyadh Hotel,3,423,1,Al Murabba,24.326804987523857,46.7589108835153,Independent,Budget,"WiFi,Pool,Restaurant,Gym,Spa",1,1,1,1,0,1,337,21.85
1010,Quisquam Riyadh Hotel,4,447,1,Al Olaya,24.45809614392821,46.06420048780807,AccorHotels,Business,"WiFi,Pool,Restaurant,Gym,Spa",1,1,1,1,1,1,600,17.68
1011,Commodi Riyadh Hotel,3,340,1,KAFD,24.42525308810828,46.99846251898455,IHG,Budget,"WiFi,Pool,Restaurant,Gym,Spa",1,1,1,1,0,1,337,17.65
1012,Rerum Riyadh Hotel,3,337,1,Diplomatic Quarter,25.494027623304515,46.85686765458916,Independent,Budget,"WiFi,Pool,Restaurant,Gym,Spa",1,1,1,1,1,1,337,18.62
